	text_a	text_b	labels
4409	Islamists attack north Mali city after suicide bombings	Islamists attack Malian troops in Gao	3.2
4410	Britain set to deport of Abu Qatada	Britain loses bid to deport radical cleric Abu Qatada	2.2
4411	French parliament backs reform of law on prostitution	Russian parliament to consider ban on U.S. adoptions	0.8
4412	Shots, Explosions Heard as Thais Continue Protest in Bangkok	Gunshots, explosions rock Thai protest day ahead of polls	2.6
4413	Israeli military focuses on northern border	Egypt's military takes control over Muslim Brotherhood, supporters	1.6
4414	North Korea blocks Kaesong access	North Korea vows to restart nuclear facilities	1
4415	Manning sentenced to 35 years in prison	Ariel Castro sentenced to 1,000 years in prison	0.4
4416	US Senate approves fiscal cliff deal	"It's official: Deal reached on ""fiscal cliff"""	3.4
4417	Zimmerman stopped for speeding in Texas, released with warning	Zimmerman pulled over in Texas for speeding, given warning	5
4418	Iran's Rouhani warns of Talibanisation in Syria	Russia, China Concerned About Israeli Airstrikes in Syria	1.4
4419	Syria denies reports of deadly Damascus nerve gas attack	US allies get help to repel Iranian computer attacks	0
4420	China stocks close higher after economic meeting	China stocks close higher on Wednesday	3.4
4421	Russia unveils $30 billion oil link to Pacific	Russia unveils $25bn oil link to Pacific	3.4
4422	Police kill gunman, find 3 more dead in Colo. home	4 dead after police standoff with gunman barricaded in US home	2
4423	Dolce and Gabbana convicted of tax evasion	Dolce and Gabbana Fined in Italian Tax Case	3
4424	7.2-magnitude quake hits Pakistan: CENC	7.7-magnitude earthquake hits SW Pakistan	3.8
4425	Asteroid zips between Earth and satellites	Asteroid passes Earth in fly-by	4.4
4426	Fight for Mali Town Reflects Islamist Tactics	EU to train Mali army to fight northern Islamist militants	2
4427	Two Santa trackers competing this Christmas	Spain turning back the clock on siestas	0
4428	Ships Train for Syrian Chemical Weapons Transport	Syria Loads Chemical Weapons into Bombs, Awaiting Assad Order	2.6
4429	2 killed, 11 wounded in attacks in Iraq	15 killed, 90 wounded in fresh attacks in Iraq	2.2
4430	Can the U.S. trust Syria to hand over chemical weapons?	US says Syria may have used sarin gas in chemical weapons	1
4431	Mexican singer Jenni Rivera believed killed in plane crash	Jenni Rivera, Mexican music star, dies in plane crash	3.4
4432	Bangladesh court sentences first lawmaker to death for war crimes	British PM pushes Sri Lanka on war crimes	1.8
4433	Mugabe declared winner of disputed elections	Zimbabwe: Mugabe declared winner in disputed vote	4
4434	Death toll climbs to 15 in Indonesia boat sinking	Indonesia: Death toll rises to 11 in Indonesia boat capsize	3.6
4435	Egyptian court bans Muslim Brotherhood	Egypt court bans Muslim Brotherhood 'activities'	3.8
4436	Rouhani leads in Iran presidential vote - preliminary results	Rouhani leads in initial Iran count	4.2
4437	Police attacked in Belfast flag protests	Politicians in flag violence talks	0.6
4438	S.Korea proposes 'final' N.Korea talks over Kaesong	North Korea proposes high-level talks with US	1
4439	"India gang-rape victim ""struggling against the odds"""	Indian rape victim dies in Singapore hospital	1.8
4440	Gunmen kill 9 foreign tourists, 1 Pakistani	Gunmen Kill 11 Foreign Tourists in Pakistan	2.8
4441	Statement by the Spokesperson of High Representative Catherine Ashton on the latest spate of attacks in Iraq	Statement by the spokesperson of the EU High Representative, Catherine Ashton, on the resumption of executions in Iraq	3.2
4442	Egypt increases security before pro-Morsi protests	Egypt bracing for massive protests	3
4443	Yacimovich urges cabinet to approve Palestinian prisoners release	Israel agrees to free 104 Palestinian prisoners	2
4444	Palestinians build another West Bank tent protest	Palestinians' first ever UN vote symbolic yet historic	0.4
4445	Bangladesh building collapse death toll hits 362	Bangladesh building-collapse death toll climbs to 580	3.6
4446	Israeli envoys summoned over settlement plans	Britain summons Israeli envoy over settlements	2.5
4447	2 dead, 2 injured in Nevada middle school shooting	Nevada: 2 dead, 2 hurt in middle school shooting	5
4448	Hamas mixed sex schools ban takes effect	Hamas in mixed-sex school 'ban'	4.2
4449	Man arrested after police officer shot in Leeds	Navy panel urges ouster of officer who faked death	0.4
4450	Ukrainian Prime Minister resigns amid protests	Turkish Prime Minister signals return to hardline on protesters	0.6
4451	Obama to refocus on economy in State of the Union	Factbox: What to look for in Obama's State of the Union speech	2.2
4452	Google launches internet-beaming balloons	Google 'are playing international tax game'	1
4453	Iraq Backs Egypt Crackdown on Morsi Supporters	Iraq backs Egypt crackdown on Mohamed Morsi supporters	4.8
4454	Russia gives initial OK to American adoption ban	Russia gives initial approval to adoption ban	3.8
4455	Five convicted in Kosovo organ trafficking case	Kosovo: 3 get jail time in organ trafficking case	2.8
4456	Hrithik Roshan, wife Sussanne part ways	Hrithik Roshan, Sussanne to divorce	4.4
4457	Gunman Among 7 Dead After Florida Apartment Shooting	Gunman among 7 dead after Fla. apartment shootout	5
4458	Obama lauds progress on gay rights in inaugural address	Thousands protest gay marriage in France	1
4459	Wave of bombings kills 15 in Iraq	Car bombs kill at least 49 in Iraq	2.2
4460	In shock move, Obama puts Syria strike on hold	Obama puts Syria strike on hold	4.6
4461	Israel strikes Syria as tensions rise on weapons	Air strikes wound civilians in Syria's Deraa	1.8
4462	Gunmen kill nine people in northwest Pakistan	Militants kill 6 soldiers in northwest Pakistan	2.6
4463	The San Francisco plane crash at a glance	Two dead, 181 hurt in San Francisco air crash	1.2
4464	8 arrested after deadly Bangladesh building collapse	Workers protest after Bangladesh building collapse	2.2
4465	X'mas cruise passengers hit by Norovirus	Missing cruise passenger is a NSW ambo	0
4466	Murder claim over Diana's death New information which has been passed to the police relating to the deaths of Princess Diana and Dodi Fayed is thought to include an allegation that they were murdered 	Diana and Fayed death info received new The deaths of Princess Diana and Dodi Al Fayed are being looked at again by police after they received information.	3.5
4467	Snowden asks to stay in Russia	Snowden releases first Russia video	1.4
4468	Chinese shares close lower Wednesday	Chinese shares close higher Friday	2.2
4469	Stomach bug to cause ailing Nadal to miss Australian Open	Rafa Nadal to miss Australian Open	3.4
4470	Narendra Modi pledges tough stand against Pakistan	India’s Modi promises tough stance against Pakistan	4.8
4471	Egyptian court considers Mubarak’s release	Egypt court orders release of Mubarak	3.4
4472	Boy Scouts delay decision on admitting gays	Boy Scouts of America delays vote on lifting ban on gays	5
4473	2 car bombs kill 8 in southern Iraq	Car bombing kills 14 in northern Iraq	1.4
4474	Van der Sloot to Marry in Prison	Joran Van Der Sloots Plans To Get Married In Peru Prison	4
4475	Tokyo stocks close down 0.26pc	Tokyo stocks close down 1.53%	3
4476	China stock index futures close higher -- Dec. 4	China stock index futures close lower -- Jan. 24	2.2
4477	Pictures of the day: 7 August 2013	Pictures of the day: 11 April 2013	2.8
4478	Palestinians 'hit' by Israeli fire in Gaza	Two Palestinians Killed in an Israeli Air Strike on Gaza	2.8
4479	Jesse Jackson Jr. and wife to plead guilty to fraud	Jesse Jackson Jr., Wife to Plead Guilty to Fraud	4.6
4480	USA expels Venezuela diplomats in row	U.S. expels Venezuelan diplomats	4.4
4481	BBC veteran Hall admits child sex abuse	Stuart Hall Admits Sex Assaults On Children	3.4
4482	7 killed, 3 injured in south China road accident	20 killed, 44 injured in Philippine road accident	0.6
4483	Ryanair reports record profits but warns growth likely to slow this year	Stansted: Ryanair reports 13% rise in annual profits but warns of slower growth this year	3.4
4484	Stocks to watch at close on Monday	Stocks to watch at close on Thursday	3
4485	50th anniversary of JFK's death remembered	On 50th anniversary of JFK death, Dallas holds its first memorial	4
4486	6.3-magnitude earthquake hits Taiwan	7.7-magnitude earthquake hits SW Pakistan	1.2
4487	Books To Help Kids Talk About Boston Marathon News	Report of two explosions at finish line of Boston Marathon	0.8
4488	Tech Sector Heats Up: Google and IBM Post Strong Earnings	Google shares soar past $1,000 on strong earnings	2.6
4489	Profiles of Kenya's presidential candidates	Italian journalist picked as presidential candidate	1
4490	Israel frees Palestinian prisoners	Gov't committee approves release of 26 Palestinian prisoners	3.4
4491	Philadelphia building collapses, 8-10 people may be trapped	Philadelphia building collapses; reports of people trapped	4
4492	Obama meets with Mandela family	Obama meets Zuma and pays tribute to Mandela	3
4493	U.S. Senate sets off gun control debate	U.S. Senate set to vote on gun control bill	3.4
4494	Car bombing kills 53 in Damascus	Car bombings kill 13 civilians in Iraqi capital	1.4
4495	'Friends of Syria' in Doha talks on arming rebels	Syria talks agree military aid to rebels	2.6
4496	Syria condemns Israeli air strikes.	Series of deadly attacks strikes Iraq	2
4497	Egypt's leader imposes state of emergency in 3 cities	Egypt president declares state of emergency in three cities	5
4498	ABVP protesters clash with police at Jantar Mantar, throw stones	Protesters clash with police at Jantar Mantar, 5 people detained	2.8
4499	Turkish PM urges to end protests in Istanbul	Turkish police fire teargas at protesters in Istanbul	2.8
4500	Two men charged with terrorism offences	Saudi-born Nigerian charged with terrorism in New York	1.8
4501	EU receives Nobel Peace Prize	EU Receives 2012 Nobel Peace Prize	3.6
4502	Start of San Fermin bull-running festival briefly delayed as view obstructed by Basque flag	San Fermin bull-running festival starts	2.6
4503	Up to 21, mostly foreigners, killed in Kabul suicide attack	Briton among dead in Kabul suicide attack	2.8
4504	Former LAPD officer sought in Irvine slayings	Former CIA officer sentenced to 30 months in prison for info leak	0
4505	Tokyo shares close 0.88pc lower	Singapore stocks close 0.44 pct lower	0.8
4506	Pakistan court demands 'blasphemy' rampage answers	Pakistan-UN report reveals alarming levels of drug use	0.6
4507	Intel's McAfee Buys Cloud-Based, Networked Firewall Specialist Stonesoft For $389M In Cash	McAfee to acquire firewall Stonesoft for $389 million	3.8
4508	4.1 magnitude quake strikes U.S	7.2 magnitude earthquake strikes Philippines	1
4509	Bangladesh Opposition Leader Sentenced to Death for War Crimes	Bangladesh: Fugitive Sentenced to Death by War Crimes Tribunal	3.6
4510	Alleged cop killer died from shot to head	Alleged cop killer died from gunshot	4.2
4511	Car bomb at Swedish consulate in Libya's Benghazi, no casualties	Car Bomb Hits Swedish Consulate in Benghazi, None Hurt	4.8
4512	Musharraf arrested in Lal Masjid case	Musharraf arrested in Pakistan	3
4513	Iran hopes nuclear talks will yield 'roadmap'	Iran Nuclear Talks in Geneva Spur High Hopes	4.4
4514	35 militants killed in Afghan raids: official	12 militants killed in Afghan raids: ministry	2.8
4515	North Korea reportedly test-fires short-range missiles	North Korea launches short-range missiles	4
4516	Thai protesters obstruct vote; 1 dead in violence	Thai protesters block polling stations in Bangkok	2.8
4517	Venezuela's Hugo Chavez dies of cancer	Hugo Chavez: Venezuelan officials for unity	1.8
4518	North Korea's third test brings it closer to nuclear power status	NATO says North Korea nuclear test is grave threat to world peace	2.2
4519	North Korea conducts third nuclear test	North Korea Confirms Third Nuclear Test	4.6
4520	Indian stocks open flat	Indian stocks open lower	3.6
4521	Macau Gambling Revenue Hits Record $38 bn in 2012	Macau gambling revenue hits record US$38b in 2012	5
4522	Israelis, Palestinians resume talks in US	Israelis, Palestinians begin talks	3.8
4523	Nelson Mandela memorial service	Nelson Mandela dies: Live coverage	2.4
4524	NM County Prepares for Same-Sex Marriages Hearing	Some county officials pave the way for same-sex marriage	3.8
4525	Four U.S. Air Force helicopter crew members killed in UK crash	US Air Force helicopter crew killed in British crash	4
4526	Tokyo to host 2020 Olympic Games	Tokyo wins race to host 2020 Olympics	4.2
4527	Malaysia detains Australian senator at airport	Malaysia detains Australian lawmaker at airport	4
4528	South Korea Says North Fired Missiles	North Korea launches short-range missiles	2.2
4529	Britain shuts down plants as horse meat scandal reaches France	EU ministers 'determined' to resolve horsemeat scandal	3
4530	US warns Syria on chemical weapons	U.S. concerns grow about Syria's chemical weapons	3.2
4531	37 killed in bus crash in Italy	12 killed in bus accident in Pakistan	1.2
4532	China yuan strengthens to 6.2689 against USD	Chinese yuan weakens to 6.2816 against USD	3
4533	U.S. recognizes Syrian opposition	Russia invites Syrian opposition for talks	2
4534	Egypt votes in new constitution	Egyptians Vote On New Constitution	4.8
4535	Preston and England legend Tom Finney dies at 91	Former England great Tom Finney dies at 91	4.4
